id_transaccion,indice_split,split,monto_final,es_anomalia,tipo_anomalia,split_sugerido,reconstruction_error,severidad,prediccion_anomalia
TRX-000211,53,prueba,4.24,0,normal,prueba,0.05042399,normal,0
TRX-000214,54,prueba,79.22,1,empleado_anulaciones_altas,prueba,0.14158203,alta,1
TRX-000221,55,prueba,5.14,1,descuento_fuera_politica,prueba,0.079475366,baja,1
TRX-000225,40,validacion,26.89,0,normal,validacion,0.04643824,normal,0
TRX-000229,41,validacion,9.04,0,normal,validacion,0.048168633,normal,0
TRX-000230,56,prueba,15.98,0,normal,prueba,0.07193174,baja,1
TRX-000232,42,validacion,3.71,0,normal,validacion,0.04583611,normal,0
TRX-000233,43,validacion,2.84,1,descuento_fuera_politica,validacion,0.28211603,alta,1
TRX-000236,44,validacion,1.99,0,normal,validacion,0.053012285,normal,0
TRX-000241,45,validacion,111.84,1,empleado_anulaciones_altas,validacion,0.44235805,alta,1
TRX-000243,57,prueba,10.56,0,normal,prueba,0.046055526,normal,0
TRX-000246,46,validacion,12.14,0,normal,validacion,0.056485422,normal,0
TRX-000248,47,validacion,-12.0,1,monto_inconsistente,validacion,0.10480752,media,1
TRX-000249,58,prueba,0.98,0,normal,prueba,0.04753201,normal,0
TRX-000252,59,prueba,1.25,0,normal,prueba,0.04982752,normal,0
TRX-000253,48,validacion,10.86,0,normal,validacion,0.045846697,normal,0
TRX-000254,60,prueba,-25.0,1,monto_inconsistente,prueba,0.28744626,alta,1
TRX-000258,61,prueba,-12.0,1,monto_inconsistente,prueba,0.19648206,alta,1
TRX-000262,62,prueba,290.26,1,monto_extremo,prueba,1.8392124,alta,1
TRX-000263,63,prueba,2.8,1,descuento_fuera_politica,prueba,0.08508825,media,1
TRX-000265,64,prueba,12.27,0,normal,prueba,0.05354345,normal,0
TRX-000268,49,validacion,12.45,0,normal,validacion,0.04931298,normal,0
TRX-000269,65,prueba,19.28,0,normal,prueba,0.049451366,normal,0
TRX-000270,66,prueba,709.88,1,monto_extremo,prueba,13.43563,alta,1
TRX-000271,50,validacion,3.45,0,normal,validacion,0.047875494,normal,0
TRX-000274,67,prueba,5.99,0,normal,prueba,0.03993241,normal,0
TRX-000275,51,validacion,3.82,0,normal,validacion,0.04379543,normal,0
TRX-000282,52,validacion,3.05,0,normal,validacion,0.049028527,normal,0
TRX-000284,68,prueba,5.18,1,descuento_fuera_politica,prueba,0.15230462,alta,1
TRX-000288,53,validacion,9.67,0,normal,validacion,0.048903324,normal,0
TRX-000290,69,prueba,-25.0,1,monto_inconsistente,prueba,0.209115,alta,1
TRX-000291,54,validacion,10.96,0,normal,validacion,0.048676234,normal,0
TRX-000296,55,validacion,3.98,0,normal,validacion,0.039675754,normal,0
TRX-000305,56,validacion,3.33,0,normal,validacion,0.04883061,normal,0
TRX-000306,70,prueba,0.0,1,monto_inconsistente,prueba,0.049616545,normal,0
TRX-000308,57,validacion,191.38,1,devolucion_monto_alto,validacion,0.6726961,alta,1
TRX-000309,58,validacion,7.88,0,normal,validacion,0.036360454,normal,0
TRX-000312,71,prueba,283.76,1,monto_extremo,prueba,1.4994581,alta,1
TRX-000314,59,validacion,6.92,0,normal,validacion,0.04860489,normal,0
TRX-000316,72,prueba,10.68,0,normal,prueba,0.041376222,normal,0
TRX-000317,60,validacion,14.02,0,normal,validacion,0.04481156,normal,0
TRX-000318,73,prueba,0.0,1,monto_inconsistente,prueba,0.04995645,normal,0
TRX-000319,61,validacion,1.61,1,efectivo_descuento_alto,validacion,0.053758305,normal,0
TRX-000321,62,validacion,21.94,0,normal,validacion,0.049516,normal,0
TRX-000322,74,prueba,3.56,1,efectivo_descuento_alto,prueba,0.064029254,baja,1
TRX-000323,75,prueba,44.72,0,normal,prueba,0.050053205,normal,0
TRX-000328,76,prueba,10.59,1,efectivo_descuento_alto,prueba,0.061364572,normal,0
TRX-000330,63,validacion,13.76,1,efectivo_descuento_alto,validacion,0.18559927,alta,1
TRX-000331,77,prueba,13.43,0,normal,prueba,0.05104133,normal,0
TRX-000332,64,validacion,1.89,0,normal,validacion,0.05632997,normal,0
TRX-000334,65,validacion,8.45,0,normal,validacion,0.043528195,normal,0
TRX-000335,78,prueba,189.13,1,monto_extremo,prueba,1.0842484,alta,1
TRX-000341,79,prueba,10.5,1,descuento_fuera_politica,prueba,0.13570386,alta,1
TRX-000343,80,prueba,7.25,1,venta_fuera_horario,prueba,0.079804465,baja,1
TRX-000345,66,validacion,230.02,1,monto_extremo,validacion,1.2734677,alta,1
TRX-000346,67,validacion,33.2,0,normal,validacion,0.04935179,normal,0
TRX-000347,81,prueba,16.31,0,normal,prueba,0.047304686,normal,0
TRX-000348,68,validacion,12.07,0,normal,validacion,0.0409527,normal,0
TRX-000350,82,prueba,18.16,0,normal,prueba,0.053723376,normal,0
TRX-000352,83,prueba,24.08,0,normal,prueba,0.04715848,normal,0
TRX-000358,69,validacion,12.54,0,normal,validacion,0.05652276,normal,0
TRX-000359,84,prueba,5.74,0,normal,prueba,0.049417447,normal,0
TRX-000362,85,prueba,4.45,0,normal,prueba,0.04146922,normal,0
TRX-000363,86,prueba,36.62,0,normal,prueba,0.049401566,normal,0
TRX-000364,87,prueba,5.49,0,normal,prueba,0.049791206,normal,0
TRX-000368,70,validacion,5.62,0,normal,validacion,0.05679229,normal,0
TRX-000372,88,prueba,322.57,1,monto_extremo,prueba,2.8405182,alta,1
TRX-000374,71,validacion,260.46,1,monto_extremo,validacion,1.9663607,alta,1
TRX-000379,72,validacion,5.13,0,normal,validacion,0.04763929,normal,0
TRX-000381,89,prueba,6.76,0,normal,prueba,0.045364697,normal,0
TRX-000382,90,prueba,3.36,1,descuento_fuera_politica,prueba,0.1960714,alta,1
TRX-000383,73,validacion,27.64,0,normal,validacion,0.05466488,normal,0
TRX-000389,91,prueba,11.27,0,normal,prueba,0.05059591,normal,0
TRX-000393,74,validacion,34.24,0,normal,validacion,0.074496925,baja,1
TRX-000394,75,validacion,8.49,0,normal,validacion,0.040370673,normal,0
TRX-000397,76,validacion,88.65,1,devolucion_monto_alto,validacion,0.16163203,alta,1
TRX-000398,92,prueba,162.67,1,devolucion_monto_alto,prueba,0.35686076,alta,1
TRX-000399,93,prueba,5.45,0,normal,prueba,0.053913742,normal,0
TRX-000401,94,prueba,4.9,0,normal,prueba,0.05264419,normal,0
TRX-000404,77,validacion,39.71,1,empleado_anulaciones_altas,validacion,0.082649164,media,1
TRX-000406,95,prueba,10.63,0,normal,prueba,0.04647688,normal,0
TRX-000412,96,prueba,21.81,1,venta_fuera_horario,prueba,0.083090164,media,1
TRX-000414,78,validacion,20.07,0,normal,validacion,0.049221814,normal,0
TRX-000416,79,validacion,8.28,0,normal,validacion,0.041576162,normal,0
TRX-000423,80,validacion,17.24,0,normal,validacion,0.03949043,normal,0
TRX-000425,97,prueba,3.3,0,normal,prueba,0.05040295,normal,0
TRX-000429,98,prueba,77.12,1,empleado_anulaciones_altas,prueba,0.25326693,alta,1
TRX-000430,99,prueba,88.56,1,empleado_anulaciones_altas,prueba,0.56144166,alta,1
TRX-000433,81,validacion,7.67,1,descuento_fuera_politica,validacion,0.14023474,alta,1
TRX-000439,82,validacion,18.33,0,normal,validacion,0.051956788,normal,0
TRX-000441,83,validacion,2.73,0,normal,validacion,0.056106064,normal,0
TRX-000444,84,validacion,10.88,0,normal,validacion,0.046305142,normal,0
TRX-000447,100,prueba,3.97,0,normal,prueba,0.040642917,normal,0
TRX-000448,101,prueba,1.55,0,normal,prueba,0.048824955,normal,0
TRX-000451,102,prueba,17.48,0,normal,prueba,0.0459723,normal,0
TRX-000459,85,validacion,6.85,0,normal,validacion,0.046176426,normal,0
TRX-000460,103,prueba,2.1,1,descuento_fuera_politica,prueba,0.45739195,alta,1
TRX-000461,104,prueba,220.69,1,monto_extremo,prueba,1.0173852,alta,1
TRX-000462,86,validacion,8.1,0,normal,validacion,0.041546732,normal,0
TRX-000468,87,validacion,5.2,0,normal,validacion,0.049286332,normal,0
TRX-000469,105,prueba,8.17,0,normal,prueba,0.050649654,normal,0
TRX-000473,88,validacion,12.14,1,venta_fuera_horario,validacion,0.10400632,media,1
TRX-000477,89,validacion,6.53,0,normal,validacion,0.051703,normal,0
TRX-000479,90,validacion,254.47,1,monto_extremo,validacion,1.5935127,alta,1
TRX-000480,91,validacion,10.01,0,normal,validacion,0.052864138,normal,0
TRX-000482,92,validacion,7.25,0,normal,validacion,0.044599492,normal,0
TRX-000484,93,validacion,7.85,0,normal,validacion,0.0488001,normal,0
TRX-000486,106,prueba,6.39,0,normal,prueba,0.05182574,normal,0
TRX-000487,94,validacion,8.82,0,normal,validacion,0.042202488,normal,0
TRX-000492,95,validacion,1.32,1,descuento_fuera_politica,validacion,0.07795421,baja,1
TRX-000493,107,prueba,3.39,1,descuento_fuera_politica,prueba,0.09591835,media,1
TRX-000498,108,prueba,234.54,1,devolucion_monto_alto,prueba,0.5963847,alta,1
TRX-000499,109,prueba,173.75,1,devolucion_monto_alto,prueba,0.75724065,alta,1
TRX-000501,96,validacion,1.69,1,descuento_fuera_politica,validacion,0.20588766,alta,1
TRX-000503,110,prueba,10.65,0,normal,prueba,0.04968164,normal,0
TRX-000505,111,prueba,6.31,0,normal,prueba,0.050224107,normal,0
TRX-000510,112,prueba,21.3,0,normal,prueba,0.050606225,normal,0
TRX-000513,97,validacion,14.14,0,normal,validacion,0.052649315,normal,0
TRX-000517,98,validacion,7.67,0,normal,validacion,0.046266705,normal,0
TRX-000518,99,validacion,106.46,1,devolucion_monto_alto,validacion,0.11174577,alta,1
TRX-000519,100,validacion,5.51,0,normal,validacion,0.04719829,normal,0
TRX-000523,101,validacion,10.8,0,normal,validacion,0.05000353,normal,0
TRX-000526,113,prueba,49.56,0,normal,prueba,0.05139013,normal,0
TRX-000528,114,prueba,12.65,0,normal,prueba,0.044399492,normal,0
TRX-000530,115,prueba,6.86,0,normal,prueba,0.055020656,normal,0
TRX-000537,102,validacion,-25.0,1,monto_inconsistente,validacion,0.26278356,alta,1
TRX-000540,116,prueba,2.82,1,descuento_fuera_politica,prueba,0.08501816,media,1
TRX-000542,103,validacion,50.38,0,normal,validacion,0.049137652,normal,0
TRX-000545,104,validacion,129.06,1,monto_extremo,validacion,0.518566,alta,1
TRX-000549,105,validacion,6.0,0,normal,validacion,0.050318386,normal,0
TRX-000550,117,prueba,56.27,0,normal,prueba,0.04683235,normal,0
TRX-000555,118,prueba,26.25,1,venta_fuera_horario,prueba,0.0748301,baja,1
TRX-000556,119,prueba,7.52,1,efectivo_descuento_alto,prueba,0.065849125,baja,1
TRX-000560,120,prueba,1.05,1,descuento_fuera_politica,prueba,0.244496,alta,1
TRX-000563,106,validacion,2.6,0,normal,validacion,0.044331577,normal,0
TRX-000571,107,validacion,9.06,0,normal,validacion,0.048386276,normal,0
TRX-000575,121,prueba,4.37,1,venta_fuera_horario,prueba,0.07791643,baja,1
TRX-000582,108,validacion,35.71,0,normal,validacion,0.043848544,normal,0
TRX-000594,109,validacion,3.26,0,normal,validacion,0.05133803,normal,0
TRX-000595,122,prueba,227.32,1,devolucion_monto_alto,prueba,1.2701879,alta,1
TRX-000597,110,validacion,319.16,1,monto_extremo,validacion,2.2050958,alta,1
TRX-000604,111,validacion,127.82,1,monto_extremo,validacion,0.8243872,alta,1
TRX-000605,123,prueba,2.11,0,normal,prueba,0.0463042,normal,0
TRX-000606,124,prueba,0.0,1,monto_inconsistente,prueba,0.0768555,baja,1
TRX-000608,125,prueba,4.1,0,normal,prueba,0.049105216,normal,0
TRX-000610,112,validacion,5.59,0,normal,validacion,0.053868227,normal,0
TRX-000612,126,prueba,0.0,1,monto_inconsistente,prueba,0.12339982,alta,1
TRX-000616,113,validacion,8.49,0,normal,validacion,0.05176882,normal,0
TRX-000618,127,prueba,1.55,1,descuento_fuera_politica,prueba,0.35816792,alta,1
TRX-000623,128,prueba,8.89,0,normal,prueba,0.03638887,normal,0
TRX-000626,114,validacion,4.85,0,normal,validacion,0.055464312,normal,0
TRX-000631,129,prueba,-12.0,1,monto_inconsistente,prueba,0.15242529,alta,1
TRX-000633,115,validacion,10.25,0,normal,validacion,0.040548656,normal,0
TRX-000636,130,prueba,8.35,0,normal,prueba,0.043229155,normal,0
TRX-000637,131,prueba,8.47,1,descuento_fuera_politica,prueba,0.1937718,alta,1
TRX-000640,116,validacion,7.38,0,normal,validacion,0.04223536,normal,0
TRX-000642,117,validacion,4.59,0,normal,validacion,0.04890457,normal,0
TRX-000645,132,prueba,4.55,0,normal,prueba,0.04979408,normal,0
TRX-000650,118,validacion,9.95,0,normal,validacion,0.05109006,normal,0
TRX-000651,133,prueba,3.24,1,descuento_fuera_politica,prueba,0.11300223,alta,1
TRX-000657,119,validacion,97.73,1,devolucion_monto_alto,validacion,0.20814002,alta,1
TRX-000658,134,prueba,881.85,1,monto_extremo,prueba,20.79223,alta,1
TRX-000659,120,validacion,15.9,0,normal,validacion,0.048364304,normal,0
TRX-000660,121,validacion,2.28,0,normal,validacion,0.057148665,normal,0
TRX-000663,135,prueba,4.0,0,normal,prueba,0.05033637,normal,0
TRX-000665,122,validacion,6.16,0,normal,validacion,0.04651168,normal,0
TRX-000666,123,validacion,2.01,0,normal,validacion,0.05115351,normal,0
TRX-000667,124,validacion,12.05,0,normal,validacion,0.05636516,normal,0
TRX-000671,136,prueba,3.78,0,normal,prueba,0.04683625,normal,0
TRX-000677,125,validacion,32.04,0,normal,validacion,0.05171468,normal,0
TRX-000678,126,validacion,0.75,1,efectivo_descuento_alto,validacion,0.064612955,baja,1
TRX-000682,127,validacion,5.77,0,normal,validacion,0.07660962,baja,1
TRX-000683,137,prueba,22.9,0,normal,prueba,0.055878226,normal,0
TRX-000685,138,prueba,3.7,1,descuento_fuera_politica,prueba,0.16048665,alta,1
TRX-000686,128,validacion,13.53,0,normal,validacion,0.046908997,normal,0
TRX-000687,129,validacion,10.95,0,normal,validacion,0.048750643,normal,0
TRX-000688,139,prueba,5.62,0,normal,prueba,0.046201102,normal,0
TRX-000689,140,prueba,5.91,0,normal,prueba,0.047062553,normal,0
TRX-000690,141,prueba,13.62,1,efectivo_descuento_alto,prueba,0.062891126,normal,0
TRX-000700,130,validacion,11.8,0,normal,validacion,0.043937776,normal,0
TRX-000701,142,prueba,13.21,0,normal,prueba,0.046041343,normal,0
TRX-000704,143,prueba,15.33,0,normal,prueba,0.05225266,normal,0
TRX-000705,131,validacion,8.4,0,normal,validacion,0.03846497,normal,0
TRX-000708,144,prueba,1.91,0,normal,prueba,0.07790943,baja,1
TRX-000710,145,prueba,12.42,0,normal,prueba,0.08223557,baja,1
TRX-000713,132,validacion,9.49,1,descuento_fuera_politica,validacion,0.093201675,media,1
TRX-000714,133,validacion,140.69,1,monto_extremo,validacion,0.538214,alta,1
TRX-000720,134,validacion,4.83,0,normal,validacion,0.047936905,normal,0
TRX-000725,135,validacion,36.08,0,normal,validacion,0.05368724,normal,0
TRX-000735,146,prueba,118.9,1,devolucion_monto_alto,prueba,0.41007566,alta,1
TRX-000736,136,validacion,0.0,1,monto_inconsistente,validacion,0.07453056,baja,1
TRX-000745,137,validacion,5.16,1,efectivo_descuento_alto,validacion,0.1403898,alta,1
TRX-000750,147,prueba,3.42,0,normal,prueba,0.04226215,normal,0
TRX-000753,148,prueba,10.9,0,normal,prueba,0.046264272,normal,0
TRX-000754,138,validacion,2.49,0,normal,validacion,0.0408741,normal,0
TRX-000759,149,prueba,2.61,1,descuento_fuera_politica,prueba,0.20716068,alta,1
TRX-000761,150,prueba,19.54,1,venta_fuera_horario,prueba,0.10378313,media,1
TRX-000763,139,validacion,248.1,1,devolucion_monto_alto,validacion,1.427574,alta,1
TRX-000766,140,validacion,102.46,1,devolucion_monto_alto,validacion,0.4013095,alta,1
TRX-000771,151,prueba,2.92,1,descuento_fuera_politica,prueba,0.11022306,alta,1
TRX-000774,152,prueba,14.35,1,venta_fuera_horario,prueba,0.07412416,baja,1
TRX-000778,141,validacion,22.48,0,normal,validacion,0.051530275,normal,0
TRX-000780,153,prueba,34.4,0,normal,prueba,0.046407133,normal,0
TRX-000781,154,prueba,4.31,1,descuento_fuera_politica,prueba,0.13979283,alta,1
TRX-000784,155,prueba,13.17,0,normal,prueba,0.04258767,normal,0
TRX-000786,142,validacion,5.28,0,normal,validacion,0.07272093,baja,1
TRX-000790,156,prueba,7.3,0,normal,prueba,0.051798254,normal,0
TRX-000791,157,prueba,16.26,0,normal,prueba,0.045285255,normal,0
TRX-000796,143,validacion,11.7,0,normal,validacion,0.054189455,normal,0
TRX-000798,144,validacion,4.93,0,normal,validacion,0.065820135,baja,1
TRX-000799,145,validacion,34.94,0,normal,validacion,0.049933467,normal,0
TRX-000800,146,validacion,5.07,1,venta_fuera_horario,validacion,0.07972229,baja,1
TRX-000802,147,validacion,19.03,0,normal,validacion,0.04785324,normal,0
TRX-000803,158,prueba,6.96,1,venta_fuera_horario,prueba,0.070338584,baja,1
TRX-000806,148,validacion,12.29,0,normal,validacion,0.049223147,normal,0
TRX-000807,159,prueba,0.77,1,descuento_fuera_politica,prueba,0.2701587,alta,1
TRX-000808,149,validacion,6.92,1,descuento_fuera_politica,validacion,0.24020615,alta,1
TRX-000809,160,prueba,3.35,0,normal,prueba,0.07963363,baja,1
TRX-000815,161,prueba,10.82,0,normal,prueba,0.045821372,normal,0
TRX-000819,150,validacion,11.34,0,normal,validacion,0.04965446,normal,0
TRX-000821,162,prueba,201.11,1,monto_extremo,prueba,1.2034079,alta,1
TRX-000825,151,validacion,6.34,0,normal,validacion,0.048439614,normal,0
TRX-000829,163,prueba,26.12,0,normal,prueba,0.046192974,normal,0
TRX-000830,152,validacion,21.57,0,normal,validacion,0.054072104,normal,0
TRX-000838,153,validacion,14.34,0,normal,validacion,0.05250588,normal,0
TRX-000839,154,validacion,9.49,0,normal,validacion,0.053611483,normal,0
TRX-000841,164,prueba,73.55,1,empleado_anulaciones_altas,prueba,0.36334062,alta,1
TRX-000844,155,validacion,-12.0,1,monto_inconsistente,validacion,0.24953511,alta,1
TRX-000847,156,validacion,6.08,0,normal,validacion,0.047003996,normal,0
TRX-000848,165,prueba,6.82,1,efectivo_descuento_alto,prueba,0.0998466,media,1
TRX-000852,157,validacion,7.55,1,descuento_fuera_politica,validacion,0.36862007,alta,1
TRX-000855,158,validacion,19.09,0,normal,validacion,0.042132735,normal,0
TRX-000858,166,prueba,36.35,0,normal,prueba,0.05245409,normal,0
TRX-000862,159,validacion,5.41,1,venta_fuera_horario,validacion,0.09781173,media,1
TRX-000864,160,validacion,1.14,0,normal,validacion,0.08421908,media,1
TRX-000867,161,validacion,11.22,0,normal,validacion,0.05198984,normal,0
TRX-000869,167,prueba,-5.0,1,monto_inconsistente,prueba,0.10741775,alta,1
TRX-000870,168,prueba,3.61,0,normal,prueba,0.04697495,normal,0
TRX-000871,169,prueba,2.49,0,normal,prueba,0.047683913,normal,0
TRX-000873,170,prueba,193.21,1,devolucion_monto_alto,prueba,1.1010413,alta,1
TRX-000874,171,prueba,7.32,0,normal,prueba,0.053105455,normal,0
TRX-000875,162,validacion,-25.0,1,monto_inconsistente,validacion,0.168785,alta,1
TRX-000878,172,prueba,1.62,1,efectivo_descuento_alto,prueba,0.076343715,baja,1
TRX-000880,163,validacion,21.4,0,normal,validacion,0.04601189,normal,0
TRX-000882,173,prueba,5.22,0,normal,prueba,0.048171006,normal,0
TRX-000883,164,validacion,15.68,0,normal,validacion,0.045539085,normal,0
TRX-000884,165,validacion,1.17,0,normal,validacion,0.048259694,normal,0
TRX-000888,166,validacion,32.23,0,normal,validacion,0.04483761,normal,0
TRX-000889,167,validacion,4.57,1,descuento_fuera_politica,validacion,0.20317413,alta,1
TRX-000894,168,validacion,98.66,1,empleado_anulaciones_altas,validacion,0.49367732,alta,1
TRX-000897,169,validacion,3.78,0,normal,validacion,0.045294825,normal,0
TRX-000900,170,validacion,13.96,0,normal,validacion,0.050382245,normal,0
TRX-000911,174,prueba,4.27,0,normal,prueba,0.041286364,normal,0
TRX-000912,175,prueba,66.44,1,empleado_anulaciones_altas,prueba,0.09000557,media,1
TRX-000913,171,validacion,202.31,1,devolucion_monto_alto,validacion,1.0619999,alta,1
TRX-000915,176,prueba,1.82,0,normal,prueba,0.047729015,normal,0
